"
			WEBSALE		",http://www.dug-software.de/,"
			IBM WebSphere Commerce		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.heine.co.uk/,"
			Bekleidung & Accessories		","
			Der Onlineshop wurde auf Basis von IBM WebSphere Commerce neu entwickelt.		"
"
			Magento		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.dailydeal.de/,"
			Verschiedenes, Sonstiges		","
			Neben einem umfangreichen Re-Design der Seite realisierte dotSource die Integration eines Affiliate-Moduls.		"
"
			Intershop		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.swarovski.com/,"
			Uhren & Schmuck		","
			Gemäß den Vorgaben des Unternehmens realisierte dotSource die technische Integration des neuen Designs im Frontend-Bereich.		"
"
			Intershop		",https://www.ecomparo.de/go/dotsource,"
			DE		","
			07743		","
			Jena		",http://www.gartenhelden.de/,"
			Garten & Terrasse		","
			Feinkonzeption, Kreation, Design und technischen Umsetzung von gartenHELDEN.de		"
"
			Magento		",http://www.infinitytechnologies.com.au/,"
			AU		","
			2067		","
			NSW		",http://www.bendonlingerie.com.au/,"
			Bekleidung & Accessories		","
			Infinity provided Bendon Lingerie with a complete end to end eCommerce solution on the Magento Enterprise platform.		"
"
			Magento		",http://www.infinitytechnologies.com.au/,"
			AU		","
			2067		","
			NSW		",http://shop.benq.com.au/,"
			TV, Video & Audio		","
			Keine Angabe seitens der Agentur		"
"
			OXID eSales		",http://www.d-i-s.de/,"
			DE		","
			70329		","
			Stuttgart		",http://www.wildtierfreund.de/,"
			Garten & Terrasse		","
			B2C-Shop auf Basis von OXID, Anspruchsvolle Layout-Umsetzung, Infoplattform über Wildtiere, ERP-Anbindung an Sage Office Line		"
"
			OXID eSales		",http://www.d-i-s.de/,"
			DE		","
			70329		","
			Stuttgart		",https://www.f-u-w.de/,"
			Computer, Tablets, Netzwerk, Software, Zubehör		","
			B2B Shop realisiert mit OXID Enterprise Edition, Entwicklung und Integration der Schnittstelle zur Warenwirtschaft Alphaplan, Entwicklung vieler spezieller Funktionen: z.B. kundenspezifische Staffelpreise, speicherbarer Warenkorb, individualisierte Belegverwaltug u.v.m.		"
"
			OXID eSales		",http://www.d-i-s.de/,"
			DE		","
			70329		","
			Stuttgart		",http://shop.boxspring-king.de/,"
			Möbel & Wohnen		","
			Online Shop für die Bestellung von Autokennzeichen und von Funschildern, Fakten zum Projekt, Echtzeit-Kennzeichen-Vorschau mit Größenkalkulation, Programmierung der Schnittstelle zu IAS mit SOAP, B2C Shop auf Basis von OXID eSales PE, Integration der Schnittstelle zur CAO-Warenwirtschaft		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://shop.marcopolo.de/,"
			Reise		","
			Alle Markenshops wurden durch die ESONO AG an das zentrale SAP-Warenwirtschaftssystem der MairDumont Gruppe angebunden. Bezahlarten über Payone: Kreditkarte, Rechnung, Lastschrift und PayPalWeitere Bezahlart: PayPal Express, Hosting auf Amazon Web Services / Elastic Compute Cloud (EC2)		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://www.fischerverlage.de/,"
			Bücher, ebooks, Zeitschriften		","
			Einsatz des Chameleon E-Commerce-Systems als flexible Entwicklungsbasis für die individuellen Anforderungen des ProjektsTrennung zwischen B2B-Portal mit zentralem SSO (SingleSignOn)-System und beliebig vielen White Label B2C-Portalen für Endkunden-WarenkorbsystemeIntegration der Endkunden-Warenkorbsysteme in unterschiedliche, bereits vorher bestehende WebsitesAnbindung der Bestellungen an das bereits im Einsatz befindliche, firmeninterne VerlagswirtschaftssystemAnbindung des Multi-Verlags DatenfeedsUmsetzung eines Schnellerfassungsfomulars mit intelligenter VorschlagsfunktionUmsetzung einer B2B-spezifischen Suche mit scharfer KriterientrennungSkalierbares AWS (Amazon Web Services) basiertes Cloud HostingEinsatz von MemcacheD als ObjectCaching		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://www.ambientedirect.com/,"
			Möbel & Wohnen		","
			Mehrsprachigkeit inkl. Vorbereitung auf beliebig viele weitere SprachenMehrwährungsfähigkeit mit individuellen Preisen pro WährungIndividuelles Presentermodul mit umfangreichen KonfigurationsmöglichkeitenZielland-sensitive, automatische VersandkostenkalkulationHochindividuelles Produktinterfacing zur Warenwirtschaft inkl. Anpassung der Shopsoftware-Artikelstruktur an das Artikeldatenmodell des AuftraggebersAuslieferung der Bildelemente über separate, für statische Inhalte optimierte WebserverIndividuelle Leistungsoptimierung lastkritischer SystemkomponentenSkalierung des Objekt-Cachings und der User-Sessions über MemcacheD über mehrere Webserver-Nodes hinweg		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://www.schneekoppe.com/,"
			Lebensmittel, Getränke & Tabak		","
			Betrieb als SaaS (Software as a Service) auf der skalierbaren Hosting-Infrastruktur der ESONO AGArtikeldaten-Schnittstelle zum TB.One PIM-System der Tradebyte Software GmbHAnbindung Payment-Schnittstelle PAYONE (Kreditkarte)Anbindung Payment-Schnittstelle PayPalIndividualisierung des Designs durch den externen Partner Markement GmbH		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://www.burdastyle.de,"
			Bekleidung & Accessories		","
			Shop, CMS und Community inklusive Forum in einem Chameleon SystemSkaliertes Clusterhosting mit Loadbalancing zur Performance- und VerfügbarkeitsoptimierungRedaktionelles Artikelmodul zur zentralisierten, intelligenten ContenverwaltungProdukte und Artikel werden per Interface an andere Sprachversionen der Burdastyle-Präsenz automatisch verteilt		"
"
			CHAMELEON  ESONO AG		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",http://www.zuendstoff-clothing.de/,"
			Bekleidung & Accessories		","
			Direkte Anbindung an die Versandhandelssoftware PIXI zur ProzessoptimierungZahlungsanbieter: Sofortüberweisung, PayPal und PayPal Expressweitere Zahlmöglichkeiten wie Vorauskasse und NachnahmeCloud-Hosting auf Amazon EC2		"
"
			Shopware		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keinkunde,"
			keine Angabe		","
			Keine Angabe seitens der Agentur		"
"
			Magento		",http://www.esono.de/,"
			DE		","
			79098		","
			Freiburg		",https://www.ecomparo.de/webdesign-internet-agenturen-fuer-onlineshop-finden/#keinkunde,"
			keine Angabe		","
			Keine Angabe seitens der Agentur		"
"
			Bigware		",http://www.webtonia.de/,"
			DE		","
			53721		","
			Siegburg		",http://www.funkeltraum.de/online-shop,"
			Uhren & Schmuck		","
